date,commit,total_collabs
2015-05-13,c0a6b5506f89b0eea8840280dade54bd4cf01768,925
2015-05-14,72d0de0d637ef062fb974dba28581ffb78e2537e,925
2015-05-15,e37d4f7d0c263f099b849e40293267128ea88b92,927
2015-05-18,7e00664d58a65f17153b425e4926986944d6c205,925
2015-05-19,4994763c0574707c73eb2a129882c6e958eaf03e,926
2015-05-21,673b0ae42fbcbc8845f90675a2b4c3e34a41d230,927
2015-05-23,05eb544be1273c8946c045db2fc4bd410fe64b52,926
2015-05-27,9ef5e4a768d3c3e3e505fd649cc4e821e0cec02e,925
2015-05-28,172e5d85ba72a46a1161226f19e0d9db768a6711,926
2015-05-29,d3a839d783222c6a0dc28b281bf0392ad1488295,927
2015-05-31,91987130d7046ea6cf453b5358e322dab384a4b7,926
2015-06-01,392827eb9991b484fa6c9c83317e7459c87cde41,921
2015-06-02,504175bc19e4b9f999f675af2533c3f4050efdad,922
2015-06-03,0befeeee80edfb0726a508f5e00e6f456a8d4a26,923
2015-06-04,bd1f0cbe7112b113c910199517cd39416fc16a8e,926
2015-06-05,77c8a8e2b939a6f7627c2859b6403b1e11c4b9ba,929
2015-06-09,a2bd583cd9cde84d49228b39c7daecea1561f803,931
2015-06-11,e8e51346fdee5f3136447436dc0ae1a929cd9b13,932
2015-06-12,85730984c412939f453fcb9c1187df9097a8b53a,933
2015-06-13,e51c6d692ab8fa0ddd955eb8e49b01f1a859424c,922
2015-06-16,bcc2033dea8b60d1df2405873bd85b9cf3918e70,922
2015-06-17,f36eb7e508bc3209805463ea2f84adf2c435a3dd,923
2015-06-18,c1a219e8f09ce261b85607d668999790123ec2e5,924
2015-06-20,7c2aed6ae1305e4653af9f7a137a698b1cb428a7,925
2015-06-25,79af9b8801b2eda953ae609a903bcb10e6adc0c0,926
2015-06-26,70192addfd00af2410ef70add0a318d36d757b7d,925
2015-07-01,a559858d1baf8ca48074bd7e86f335513da6bcad,920
2015-07-02,c3e719f11302a12d92681447ecc77ddeb54aa721,923
2015-07-03,ed48cba492acc1106245b9c35bfd7ee9e0d8b1f5,925
2015-07-04,7a8e8fef7cad75781f42b02f96f7f36c44701851,925
2015-07-07,3e4a5fcd5073bfc50e3836134283e3635e1975b3,926
2015-07-08,d48afad0f3922e7fc9e18459f0d43798aa851e25,927
2015-07-09,d8216e44054b36f85e07e6c93f5ce2d3ee2bc49c,928
2015-07-10,f93ba4156a7b5c5274db961df16c9745f37d2da4,929
2015-07-11,a832df66e58c40670bf4e101631a6d634013ec78,929
2015-07-14,b4d9fd17cc249563094a7a5b293f12f667c490d6,930
2015-07-17,5ea0559186f5ae5c9e9895d41fa4195fe14f99fa,932
